,Unnamed: 0,image_name,text,image_type_folder
2174,2174,2022-09-27_01-22-09_UTC_6.jpg,really slutty to have a consistent identity this app. “ooo i wanna be famous with all the anonymous horny people” this is what u sound like,yikyakyeo/image_type_3/
2175,2175,2022-10-07_01-43-46_UTC_4.jpg,"Oberlin students be like damn I have class until 3, then I have to work with my group and then I have to protest the Board of Trustees at 4",yikyakyeo/image_type_3/
2176,2176,2022-09-25_01-14-40_UTC_8.jpg,Sorry guys... I got rly hungry,yikyakyeo/image_type_3/
2177,2177,2022-10-10_06-07-58_UTC_7.jpg,Daily dad joke #7: Why was the pig covered in ink? Because it lived in a pen.,yikyakyeo/image_type_3/
2178,2178,2022-10-02_00-10-52_UTC_4.jpg,Washed mmy dildo tonight in the barrows bathroom while somebody had a meltdown ranting to their friend. Sweating buckets trying to clean it faster and get out.,yikyakyeo/image_type_3/
2179,2179,2022-09-23_01-16-00_UTC_8.jpg,my toxic trait is thinking it'll take me exactly 10 minutes to get anywhere,yikyakyeo/image_type_3/
2180,2180,2022-09-23_01-16-00_UTC_9.jpg,"hey trans siblings u are beautiful and awesome and valued, ily",yikyakyeo/image_type_3/
2181,2181,2022-10-02_00-10-52_UTC_5.jpg,finding out ur crush is dating someone hotter than u is positively mortifying,yikyakyeo/image_type_3/
2182,2182,2022-10-10_06-07-58_UTC_6.jpg,"Daily dad joke #6: The past, the present, and the future walked into a bar. It was tense.",yikyakyeo/image_type_3/
2183,2183,2022-09-25_01-14-40_UTC_9.jpg,got in an argument with a psych major and the mf started diagnosing me with psychological disorders,yikyakyeo/image_type_3/
2184,2184,2022-10-07_01-43-46_UTC_5.jpg,Board of trust these nuts in their mouth,yikyakyeo/image_type_3/
2185,2185,2022-09-27_01-22-09_UTC_7.jpg,"Hey everyone please don't go into the people shaped holes in the basement of King, no matter how much it looks like you",yikyakyeo/image_type_3/
2186,2186,2022-09-27_01-22-09_UTC_5.jpg,Just scheduled the surgery to get my dick chopped off,yikyakyeo/image_type_3/
2187,2187,2022-09-29_02-37-33_UTC_4.jpg,Just got an 81/100 on a paper I rly thought deserved a 50 on and my night is suddenly so much better,yikyakyeo/image_type_3/
2188,2188,2022-10-07_01-43-46_UTC_7.jpg,we're bored of trustees,yikyakyeo/image_type_3/
2189,2189,2022-02-19_04-28-01_UTC_9.jpg,Salting the sidewalks means I can't take my pet slug on his daily walks,yikyakyeo/image_type_3/
