,Unnamed: 0,image_name,text,image_type_folder
2073,2073,2022-04-08_01-03-18_UTC_6.jpg,Nathan carpenter is wanted by the Ohio st government for tax evasion by posing as a college student for 14 plus years,yikyakyeo/image_type_2/
2074,2074,2022-04-08_01-03-18_UTC_10.jpg,during the community 101 meeting i discovered there are approximately 9936 small planks of wood on the ceiling of finney chapel,yikyakyeo/image_type_2/
2075,2075,2022-04-05_00-57-50_UTC_1.jpg,After attending Oberlin I genuinely consider nipples to be an outfit accessory,yikyakyeo/image_type_2/
2076,2076,2022-04-07_13-10-21_UTC_1.jpg,some of y'all smell like imitation crab,yikyakyeo/image_type_2/
2077,2077,2022-01-28_12-12-52_UTC_4.jpg,capitalism is when you can't get a side with your order from umami without using flex points,yikyakyeo/image_type_2/
2078,2078,2022-01-28_12-12-52_UTC_5.jpg,Petition to have decafe sell alcohol,yikyakyeo/image_type_2/
2079,2079,2022-04-08_01-03-18_UTC_7.jpg,Nathan carpenter's car doesn't have an engine. He just be flintstoning it everywhere,yikyakyeo/image_type_2/
2080,2080,2022-04-08_01-03-18_UTC_5.jpg,nathan carpenter has three rows of teeth and a dorsal fin,yikyakyeo/image_type_2/
2081,2081,2022-04-07_13-10-21_UTC_2.jpg,Bruh even the squirrels are white,yikyakyeo/image_type_2/
2082,2082,2022-04-05_00-57-50_UTC_2.jpg,I meet the person who wears shorts and a tshirt when it is 30 degrees. I shake his hand. It falls off. He has crippling frostbite,yikyakyeo/image_type_2/
2083,2083,2022-01-28_12-12-52_UTC_6.jpg,There's post-nut clarity and then there's post-nut decafe,yikyakyeo/image_type_2/
2084,2084,2022-04-05_00-57-50_UTC_3.jpg,One of the coalescences of hair in the barrows shower drain just asked me where it could buy a gun. Should I be concerned?,yikyakyeo/image_type_2/
2085,2085,2022-04-08_01-03-18_UTC_4.jpg,oberlin yikyak fell off after ppl stopped nathancarpenterposting,yikyakyeo/image_type_2/
2086,2086,2022-04-07_13-10-21_UTC_7.jpg,ppl here are like I love nature and then kill yellow jackets (pollinators),yikyakyeo/image_type_2/
2087,2087,2022-04-05_00-57-50_UTC_7.jpg,Please don't forget to rotate your soybean and corn crops. I'm begging you,yikyakyeo/image_type_2/
2088,2088,2022-04-07_13-10-21_UTC_10.jpg,Wearing a mask doesn't make you anonymous dude wash ur hands after you piss,yikyakyeo/image_type_2/
2089,2089,2022-01-28_12-12-52_UTC_2.jpg,Oberlin meal plan culture is choosing between eating food I'm allergic to and starving,yikyakyeo/image_type_2/
2090,2090,2022-01-28_12-12-52_UTC_3.jpg,if you steal from decafe president ambar literally will bodyslam you with one of the refrigerators in there,yikyakyeo/image_type_2/
2091,2091,2022-04-05_20-52-04_UTC_8.jpg,Just witnessed the mudd printer printing out 17 colored pages of harry styles,yikyakyeo/image_type_2/
2092,2092,2022-04-05_00-57-50_UTC_6.jpg,"class went outside and took off masks, cute mysterious boy was not mysterious, he was just fucking ugly",yikyakyeo/image_type_2/
2093,2093,2022-04-07_13-10-21_UTC_6.jpg,I watched meatloaf get Trotskyed today,yikyakyeo/image_type_2/
2094,2094,2022-04-08_01-03-18_UTC_1.jpg,Purchasing another albino squirrel (deep web) to get yeobie laid til we got a little community,yikyakyeo/image_type_2/
2095,2095,2022-04-08_01-03-18_UTC_3.jpg,who on fuck is nate and car painter,yikyakyeo/image_type_2/
2096,2096,2022-04-05_00-57-50_UTC_4.jpg,People who take our athletics seriously are larping that they go to a state school lol,yikyakyeo/image_type_2/
2097,2097,2022-04-07_13-10-21_UTC_4.jpg,go ahead and trash the midwest... see how u feel when we cut off ur grain supply,yikyakyeo/image_type_2/
2098,2098,2022-01-28_12-12-52_UTC_1.jpg,Somebody should have told me the decaf register wasn't a geocaching box,yikyakyeo/image_type_2/
2099,2099,2022-04-07_13-10-21_UTC_5.jpg,What's up with people being like” lets unpack this or that” I haven't even unpacked my room u think I'm about to unpack a whole situation,yikyakyeo/image_type_2/
2100,2100,2022-04-05_00-57-50_UTC_5.jpg,The avian urge to collect shiny objects,yikyakyeo/image_type_2/
2101,2101,2022-04-08_01-03-18_UTC_2.jpg,just saw nathan carpenter dip a squirrel in bleach and release it into tappan.... wtf??,yikyakyeo/image_type_2/
2102,2102,2022-04-04_12-52-41_UTC_6.jpg,Scholastic book fair Splitchers,yikyakyeo/image_type_2/
2103,2103,2022-04-04_12-52-41_UTC_7.jpg,campus security left their car running should I steal it,yikyakyeo/image_type_2/
2104,2104,2022-04-04_12-52-41_UTC_5.jpg,To the guy cheating off my math test this morning....We failed man.,yikyakyeo/image_type_2/
2105,2105,2022-04-08_14-21-13_UTC_8.jpg,if u walk by me weeping in the grass at 4am please mind ur business my life is very hard and i would like to have peace with the bugs,yikyakyeo/image_type_2/
2106,2106,2022-04-08_14-21-13_UTC_9.jpg,"new rule: i will not do the reading if ur pdf is sideways. it takes enough mental power to open the reading, if that shit is sideways fuck you im not doing it.",yikyakyeo/image_type_2/
2107,2107,2022-04-04_12-52-41_UTC_4.jpg,Showering and the dude next to me is playing the hobbit on audiobook. about to slide under the stall and kiss him on the mouth I'm so entertained,yikyakyeo/image_type_2/
2108,2108,2022-04-05_13-43-39_UTC_9.jpg,pov: seeing someone drop protein bars into their backpack in decafe&,yikyakyeo/image_type_2/
2109,2109,2022-04-05_13-43-39_UTC_8.jpg,"If I bought a mini train and drive it around campus, would y'all pay for rides to class?",yikyakyeo/image_type_2/
2110,2110,2022-04-04_12-52-41_UTC_1.jpg,You all need journals ... you gotta Keep some of this shit to yourself,yikyakyeo/image_type_2/
2111,2111,2022-04-04_12-52-41_UTC_3.jpg,tbh the firing squads outside of Barrows executing Honor Code violators are really disruptive to my learning environment,yikyakyeo/image_type_2/
2112,2112,2022-04-04_12-52-41_UTC_2.jpg,Y'all freshmen dont know about the biannual penis jousting festival and it shows,yikyakyeo/image_type_2/
2113,2113,2022-04-05_13-43-39_UTC_6.jpg,If chickens lay eggs everyday...we really just eat those eggs so that chickens don't take over the world. Do your part. Save humanity. Eat chicken eggs.,yikyakyeo/image_type_2/
2114,2114,2022-01-22_20-04-43_UTC_2.jpg,None of the dryers on this campus work. Welcome to Joe Biden's America,yikyakyeo/image_type_2/
2115,2115,2022-01-28_04-03-30_UTC_4.jpg,got locked out so my RAs making me do a riddle otherwise he won't let me back in. looks like I'm sleeping on the floor tonight,yikyakyeo/image_type_2/
2116,2116,2022-04-08_14-21-13_UTC_2.jpg,the obie urge to get the worst haircut you've ever seen,yikyakyeo/image_type_2/
2117,2117,2022-04-08_14-21-13_UTC_3.jpg,The Oberlin experience is grappling with the fact that it was a mistake to go to Oberlin,yikyakyeo/image_type_2/
2118,2118,2022-01-28_04-03-30_UTC_5.jpg,Nothing so unsettling as hearing your RA crying,yikyakyeo/image_type_2/
2119,2119,2022-01-27_02-29-47_UTC_1.jpg,This isn't snow. Nobody touch the snow. I spilled my coke. I repeat do not touch the snow.,yikyakyeo/image_type_2/
2120,2120,2022-01-22_20-04-43_UTC_3.jpg,Bruh I got a paper cut on my ass from the toilet paper in fairkid wtf???,yikyakyeo/image_type_2/
2121,2121,2022-04-05_13-43-39_UTC_5.jpg,the albino squirrel just bit me,yikyakyeo/image_type_2/
2122,2122,2022-01-22_20-04-43_UTC_1.jpg,fun thing about not having a roommate is i can just sit tits out while doing homework if i so please,yikyakyeo/image_type_2/
2123,2123,2022-01-24_03-54-22_UTC_5.jpg,stevie food would kill a medieval serf,yikyakyeo/image_type_2/
2124,2124,2022-04-08_14-21-13_UTC_1.jpg,iam SMOKING CIGARETTE i am LIBERAL ARTS STUDENT,yikyakyeo/image_type_2/
2125,2125,2022-01-27_02-29-47_UTC_3.jpg,I am gatsby and the one group that smokes weed outside of my dorm window every night is my green light,yikyakyeo/image_type_2/
2126,2126,2022-04-03_18-06-20_UTC_5.jpg,Herxin being sold in Decafe! Xchange plus 3,yikyakyeo/image_type_2/
2127,2127,2022-04-03_18-06-20_UTC_4.jpg,"i think women should be allowed to steal from decafe. after all, our ancestors were foragers and we're only following in their footsteps",yikyakyeo/image_type_2/
2128,2128,2022-01-27_02-29-47_UTC_2.jpg,I propose we have a fried pride where all LGBTQ people get a week off to get absolutely BAKED,yikyakyeo/image_type_2/
2129,2129,2022-01-28_04-03-30_UTC_6.jpg,Know that your RAs are on this app and we find it hilarious,yikyakyeo/image_type_2/
2130,2130,2022-01-24_03-54-22_UTC_4.jpg,why won't he love me (the man at stevie who keeps telling me the vegan sausage is turkey),yikyakyeo/image_type_2/
2131,2131,2022-04-05_13-43-39_UTC_4.jpg,"to the guy in my archeo lecture who said an awl (long, skinny, metal rod for poking holes) was phallic: i'm worried about what you think dicks are",yikyakyeo/image_type_2/
